INPUT,TARGET
Mais je me garderais de les montrer aux Gens.,"Vous me parlez bien ferme, et cette suffisance…"
"Vous me parlez bien ferme, et cette suffisance…","Autre part que chez moi, cherchez qui vous encense."
"Autre part que chez moi, cherchez qui vous encense.","Mais, mon petit Monsieur, prenez-le un peu moins haut."
"Mais, mon petit Monsieur, prenez-le un peu moins haut.","Ma foi, mon grand Monsieur, je le prends comme il faut."
"Ma foi, mon grand Monsieur, je le prends comme il faut.","Eh ! Messieurs, c’en est trop, laissez cela, de grâce."
"Eh ! Messieurs, c’en est trop, laissez cela, de grâce.","Ah ! j’ai tort, je l’avoue, et je quitte la place ;"
"Ah ! j’ai tort, je l’avoue, et je quitte la place ;","Je suis votre Valet, Monsieur, de tout mon coeur."
"Je suis votre Valet, Monsieur, de tout mon coeur.","Et moi, je suis, Monsieur, votre humble Serviteur."
"Et moi, je suis, Monsieur, votre humble Serviteur.","Hé bien, vous le voyez ; pour être trop sincère,"
"Hé bien, vous le voyez ; pour être trop sincère,","Vous voilà sur les bras, une fâcheuse Affaire ;"
"Vous voilà sur les bras, une fâcheuse Affaire ;","Et j’ai bien vu qu’Oronte, afin d’être flatté…"
"Et j’ai bien vu qu’Oronte, afin d’être flatté…",Ne me parlez pas.
Ne me parlez pas.,Mais…
Mais…,Plus de société.
Plus de société.,C’est trop…
C’est trop…,Laissez-moi là.
Laissez-moi là.,Si je…
Si je…,Point de langage.
Point de langage.,Mais quoi…
Mais quoi…,Je n’entends rien.
Je n’entends rien.,Mais…
Mais…,Encore.
Encore.,On outrage…
On outrage…,"Ah ! parbleu, c’en est trop, ne suivez point mes pas."
"Ah ! parbleu, c’en est trop, ne suivez point mes pas.","Vous vous moquez de moi, je ne vous quitte pas."
"Vous vous moquez de moi, je ne vous quitte pas.","Madame, voulez-vous que je vous parle net ?"
"Madame, voulez-vous que je vous parle net ?","De vos façons d’agir, je suis mal satisfait :"
"De vos façons d’agir, je suis mal satisfait :","Contre elles, dans mon Coeur, trop de Bile s’assemble,"
"Contre elles, dans mon Coeur, trop de Bile s’assemble,",Et je sens qu’il faudra que nous rompions ensemble.
Et je sens qu’il faudra que nous rompions ensemble.,"Oui, je vous tromperais, de parler autrement,"
"Oui, je vous tromperais, de parler autrement,","Tôt, ou tard, nous romprons, indubitablement ;"
"Tôt, ou tard, nous romprons, indubitablement ;","Et je vous promettrais, mille fois, le contraire,"
"Et je vous promettrais, mille fois, le contraire,",Que je ne serais pas en pouvoir de le faire.
Que je ne serais pas en pouvoir de le faire.,"C’est pour me quereller, donc, à ce que je vois,"
"C’est pour me quereller, donc, à ce que je vois,",Que vous avez voulu me ramener chez moi ?
Que vous avez voulu me ramener chez moi ?,"Je ne querelle point ; mais votre humeur, Madame,"
"Je ne querelle point ; mais votre humeur, Madame,","Ouvre, au premier venu, trop d’accès dans votre Âme ;"
"Ouvre, au premier venu, trop d’accès dans votre Âme ;","Vous avez trop d’Amants, qu’on voit vous obséder,"
"Vous avez trop d’Amants, qu’on voit vous obséder,","Et mon cœur, de cela, ne peut s’accommoder."
"Et mon cœur, de cela, ne peut s’accommoder.","Des Amants que je fais, me rendez-vous coupable ?"
"Des Amants que je fais, me rendez-vous coupable ?","Puis-je empêcher les Gens, de me trouver aimable ?"
"Puis-je empêcher les Gens, de me trouver aimable ?","Et lorsque, pour me voir, ils font de doux efforts,"
"Et lorsque, pour me voir, ils font de doux efforts,","Dois-je prendre un Bâton, pour les mettre dehors ?"
"Dois-je prendre un Bâton, pour les mettre dehors ?","Non, ce n’est pas, Madame, un bâton qu’il faut prendre,"
"Non, ce n’est pas, Madame, un bâton qu’il faut prendre,","Mais un Coeur, à leurs vœux, moins facile, et moins tendre."
"Mais un Coeur, à leurs vœux, moins facile, et moins tendre.","Je sais que vos Appas vous suivent en tous Lieux,"
"Je sais que vos Appas vous suivent en tous Lieux,",Mais votre accueil retient ceux qu’attirent vos yeux ;
Mais votre accueil retient ceux qu’attirent vos yeux ;,"Et sa douceur offerte à qui vous rend les Armes,"
"Et sa douceur offerte à qui vous rend les Armes,","Achève, sur les Coeurs, l’Ouvrage de vos Charmes."
"Achève, sur les Coeurs, l’Ouvrage de vos Charmes.","Le trop riant Espoir que vous leur présentez,"
"Le trop riant Espoir que vous leur présentez,","Attache, autour de vous, leurs assiduités ;"
"Attache, autour de vous, leurs assiduités ;","Et votre Complaisance, un peu moins étendue,"
"Et votre Complaisance, un peu moins étendue,",De tant de Soupirants chasserait la Cohue.
De tant de Soupirants chasserait la Cohue.,"Mais, au moins, dites-moi, Madame, par quel Sort,"
"Mais, au moins, dites-moi, Madame, par quel Sort,",Votre Clitandre a l’heur de vous plaire si fort ?
Votre Clitandre a l’heur de vous plaire si fort ?,"Sur quel fonds de Mérite, et de Vertu sublime,"
"Sur quel fonds de Mérite, et de Vertu sublime,","Appuyez-vous, en lui, l’honneur de votre Estime ?"
"Appuyez-vous, en lui, l’honneur de votre Estime ?","Est-ce par l’Ongle long, qu’il porte au petit Doigt,"
"Est-ce par l’Ongle long, qu’il porte au petit Doigt,","Qu’il s’est acquis, chez vous, l’Estime où l’on le voit ?"
"Qu’il s’est acquis, chez vous, l’Estime où l’on le voit ?","Vous êtes-vous rendue, avec tout le beau Monde,"
"Vous êtes-vous rendue, avec tout le beau Monde,",Au mérite éclatant de sa Perruque blonde ?
Au mérite éclatant de sa Perruque blonde ?,"Sont-ce ses grands Canons, qui vous le font aimer ?"
"Sont-ce ses grands Canons, qui vous le font aimer ?",L’amas de ses Rubans a-t-il su vous charmer ?
L’amas de ses Rubans a-t-il su vous charmer ?,"Est-ce par les appas de sa vaste Rhingrave,"
"Est-ce par les appas de sa vaste Rhingrave,","Qu’il a gagné votre Âme, en faisant votre Esclave ?"
"Qu’il a gagné votre Âme, en faisant votre Esclave ?","Ou sa façon de rire, et son ton de Fausset,"
"Ou sa façon de rire, et son ton de Fausset,","Ont-ils, de vous toucher, su trouver le secret ?"
"Ont-ils, de vous toucher, su trouver le secret ?","Qu’injustement, de lui, vous prenez de l’ombrage !"
"Qu’injustement, de lui, vous prenez de l’ombrage !","Ne savez-vous pas bien, pourquoi je le ménage ?"
"Ne savez-vous pas bien, pourquoi je le ménage ?","Et que, dans mon Procès, ainsi qu’il m’a promis,"
"Et que, dans mon Procès, ainsi qu’il m’a promis,",Il peut intéresser tout ce qu’il a d’Amis.
Il peut intéresser tout ce qu’il a d’Amis.,"Perdez votre Procès, Madame, avec constance,"
"Perdez votre Procès, Madame, avec constance,",Et ne ménagez point un Rival qui m’offense.
Et ne ménagez point un Rival qui m’offense.,"Mais, de tout l’Univers vous devenez jaloux."
"Mais, de tout l’Univers vous devenez jaloux.",C’est que tout l’Univers est bien reçu de vous.
C’est que tout l’Univers est bien reçu de vous.,"C’est ce qui doit rasseoir votre Âme effarouchée,"
"C’est ce qui doit rasseoir votre Âme effarouchée,",Puisque ma Complaisance est sur tous épanchée :
Puisque ma Complaisance est sur tous épanchée :,"Et vous auriez plus lieu de vous en offenser,"
"Et vous auriez plus lieu de vous en offenser,","Si vous me la voyiez, sur un seul, ramasser."
"Si vous me la voyiez, sur un seul, ramasser.","Mais, moi, que vous blâmez de trop de jalousie,"
"Mais, moi, que vous blâmez de trop de jalousie,","Qu’ai-je de plus qu’eux tous, Madame, je vous prie ?"
"Qu’ai-je de plus qu’eux tous, Madame, je vous prie ?",Le bonheur de savoir que vous êtes aimé.
Le bonheur de savoir que vous êtes aimé.,"Et quel lieu de le croire, à mon Coeur enflammé ?"
"Et quel lieu de le croire, à mon Coeur enflammé ?","Je pense qu’ayant pris le soin de vous le dire,"
"Je pense qu’ayant pris le soin de vous le dire,","Un aveu de la sorte, a de quoi vous suffire."
"Un aveu de la sorte, a de quoi vous suffire.","Mais qui m’assurera que dans le même instant,"
"Mais qui m’assurera que dans le même instant,","Vous n’en disiez, peut-être, aux autres tout autant ?"
"Vous n’en disiez, peut-être, aux autres tout autant ?","Certes, pour un Amant, la Fleurette est mignonne,"
"Certes, pour un Amant, la Fleurette est mignonne,","Et vous me traitez, là, de gentille Personne."
"Et vous me traitez, là, de gentille Personne.","Hé bien, pour vous ôter d’un semblable souci,"
"Hé bien, pour vous ôter d’un semblable souci,","De tout ce que j’ai dit, je me dédis ici :"
"De tout ce que j’ai dit, je me dédis ici :","Et rien ne saurait plus vous tromper, que vous-même ;"
"Et rien ne saurait plus vous tromper, que vous-même ;",Soyez content.
Soyez content.,"Morbleu, faut-il que je vous aime ?"
"Morbleu, faut-il que je vous aime ?","Ah ! que si, de vos Mains, je rattrape mon Coeur,"
"Ah ! que si, de vos Mains, je rattrape mon Coeur,","Je bénirai le Ciel, de ce rare Bonheur !"
"Je bénirai le Ciel, de ce rare Bonheur !","Je ne le cèle pas, je fais tout mon possible"
"Je ne le cèle pas, je fais tout mon possible","À rompre, de ce Coeur, l’attachement terrible ;"
"À rompre, de ce Coeur, l’attachement terrible ;","Mais mes plus grands efforts n’ont rien fait, jusqu’ici,"
"Mais mes plus grands efforts n’ont rien fait, jusqu’ici,","Et c’est, pour mes Péchés, que je vous aime ainsi."
"Et c’est, pour mes Péchés, que je vous aime ainsi.","Il est vrai, votre ardeur est, pour moi, sans seconde."
"Il est vrai, votre ardeur est, pour moi, sans seconde.","Oui, je puis, là-dessus, défier tout le Monde."
"Oui, je puis, là-dessus, défier tout le Monde.","Mon amour ne se peut concevoir, et jamais,"
"Mon amour ne se peut concevoir, et jamais,","Personne n’a, Madame, aimé comme je fais."
"Personne n’a, Madame, aimé comme je fais.","En effet, la Méthode en est toute nouvelle,"
"En effet, la Méthode en est toute nouvelle,","Car vous aimez les Gens, pour leur faire querelle ;"
"Car vous aimez les Gens, pour leur faire querelle ;","Ce n’est qu’en Mots fâcheux, qu’éclate votre ardeur,"
"Ce n’est qu’en Mots fâcheux, qu’éclate votre ardeur,","Et l’on n’a vu jamais, un Amour si grondeur."
"Et l’on n’a vu jamais, un Amour si grondeur.","Mais il ne tient qu’à vous, que son chagrin ne passe ;"
"Mais il ne tient qu’à vous, que son chagrin ne passe ;","À tous nos Démêlés, coupons chemin, de grâce,"
"À tous nos Démêlés, coupons chemin, de grâce,","Parlons à Coeur ouvert, et voyons d’arrêter…"
"Parlons à Coeur ouvert, et voyons d’arrêter…",Qu’est-ce ?
Qu’est-ce ?,Acaste est là-bas.
Acaste est là-bas.,"Hé bien, faites monter."
"Hé bien, faites monter.","Quoi ! l’on ne peut jamais, vous parler, tête à tête ?"
"Quoi ! l’on ne peut jamais, vous parler, tête à tête ?","À recevoir le Monde, on vous voit toujours prête ?"
"À recevoir le Monde, on vous voit toujours prête ?","Et vous ne pouvez pas, un seul moment de tous,"
"Et vous ne pouvez pas, un seul moment de tous,",Vous résoudre à souffrir de n’être pas chez vous ?
Vous résoudre à souffrir de n’être pas chez vous ?,"Voulez-vous, qu’avec lui, je me fasse une Affaire ?"
"Voulez-vous, qu’avec lui, je me fasse une Affaire ?",Vous avez des Regards qui ne sauraient me plaire.
Vous avez des Regards qui ne sauraient me plaire.,"C’est un Homme à jamais ne me le pardonner,"
"C’est un Homme à jamais ne me le pardonner,",S’il savait que sa vue eût pu m’importuner.
S’il savait que sa vue eût pu m’importuner.,"Et que vous fait cela, pour vous gêner de sorte…"
"Et que vous fait cela, pour vous gêner de sorte…","Mon Dieu ! de ses Pareils, la Bienveillance importe,"
"Mon Dieu ! de ses Pareils, la Bienveillance importe,","Et ce sont de ces Gens qui, je ne sais comment,"
"Et ce sont de ces Gens qui, je ne sais comment,","Ont gagné, dans la Cour, de parler hautement."
"Ont gagné, dans la Cour, de parler hautement.","Dans tous les Entretiens, on les voit s’introduire ;"
"Dans tous les Entretiens, on les voit s’introduire ;","Ils ne sauraient servir, mais ils peuvent vous nuire ;"
"Ils ne sauraient servir, mais ils peuvent vous nuire ;","Et jamais, quelque appui qu’on puisse avoir d’ailleurs,"
"Et jamais, quelque appui qu’on puisse avoir d’ailleurs,",On ne doit se brouiller avec ces grands Brailleurs.
On ne doit se brouiller avec ces grands Brailleurs.,"Enfin, quoi qu’il en soit, et sur quoi qu’on se fonde,"
"Enfin, quoi qu’il en soit, et sur quoi qu’on se fonde,",Vous trouvez des Raisons pour souffrir tout le Monde ;
Vous trouvez des Raisons pour souffrir tout le Monde ;,Et les précautions de votre jugement…
Et les précautions de votre jugement…,"Voici Clitandre, encor, Madame."
"Voici Clitandre, encor, Madame.",Justement.
Justement.,Où courez-vous ?
Où courez-vous ?,Je sors.
Je sors.,Demeurez.
Demeurez.,Pour quoi faire ?
Pour quoi faire ?,Demeurez.
Demeurez.,Je ne puis.
Je ne puis.,Je le veux.
Je le veux.,Point d’affaire ;
Point d’affaire ;,"Ces Conversations ne font que m’ennuyer,"
"Ces Conversations ne font que m’ennuyer,","Et c’est trop, que vouloir me les faire essuyer."
"Et c’est trop, que vouloir me les faire essuyer.","Je le veux, je le veux."
"Je le veux, je le veux.","Non, il m’est impossible."
"Non, il m’est impossible.","Hé bien ! allez, sortez, il vous est tout loisible."
"Hé bien ! allez, sortez, il vous est tout loisible.","Voici les deux Marquis, qui montent avec nous ;"
"Voici les deux Marquis, qui montent avec nous ;",Vous l’est-on venu dire ?
Vous l’est-on venu dire ?,"Oui, des Sièges pour tous."
"Oui, des Sièges pour tous.",Vous n’êtes pas sorti ?
Vous n’êtes pas sorti ?,"Non ; mais je veux, Madame,"
"Non ; mais je veux, Madame,","Ou, pour eux, ou pour moi, faire expliquer votre Âme."
"Ou, pour eux, ou pour moi, faire expliquer votre Âme.",Taisez-vous.
Taisez-vous.,"Aujourd’hui, vous vous expliquerez."
"Aujourd’hui, vous vous expliquerez.",Vous perdez le sens.
Vous perdez le sens.,Point. Vous vous déclarerez.
Point. Vous vous déclarerez.,Ah !
Ah !,Vous prendrez Parti.
Vous prendrez Parti.,"Vous vous moquez, je pense."
"Vous vous moquez, je pense.","Non ; mais vous choisirez, c’est trop de patience."
"Non ; mais vous choisirez, c’est trop de patience.","Parbleu, je viens du Louvre, où Cléonte, au Levé,"
"Parbleu, je viens du Louvre, où Cléonte, au Levé,","Madame, a bien paru, Ridicule achevé."
"Madame, a bien paru, Ridicule achevé.","N'a-t-il point quelque Ami qui pût, sur ses Manières,"
"N'a-t-il point quelque Ami qui pût, sur ses Manières,","D’un charitable Avis, lui prêter les lumières ?"
"D’un charitable Avis, lui prêter les lumières ?","Dans le Monde, à vrai dire, il se barbouille fort ;"
"Dans le Monde, à vrai dire, il se barbouille fort ;","Partout, il porte un Air qui saute aux yeux, d’abord ;"
"Partout, il porte un Air qui saute aux yeux, d’abord ;","Et lorsqu’on le revoit, après un peu d’absence,"
"Et lorsqu’on le revoit, après un peu d’absence,","On le retrouve, encor, plus plein d’extravagance."
